gender,age,age_cat,educ,know_gov_name,know_sen1_name,know_sen2_name,know_house_name,knowledge,ability
Female,59,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,73,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,57,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,73,65+,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,72,65+,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,49,45-54,PG,1,1,0,1,-0.3233082531361229,-0.3233082531361229
Male,66,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,65,65+,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,55,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,67,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,83,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,67,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,68,65+,2yr,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Female,82,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,79,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,52,45-54,4yr,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Female,65,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Male,68,65+,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,61,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,45,45-54,PG,0,1,1,0,-0.6330801257009591,-0.6330801257009591
Female,60,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,66,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,62,55-64,2yr,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Female,70,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,73,65+,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,74,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,59,55-64,2yr,1,0,0,0,-1.0279178082036446,-1.0279178082036446
Male,74,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Male,87,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,69,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,72,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,63,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,63,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,74,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
