"gender","age","nationality","education_ISCED","in_paid_work","religion","ideology_left_right","gen_imm_escape","gen_imm_work","gen_imm_study","gen_imm_family_war","gen_imm_marriage","gen_imm_ess_good_bad","gen_imm_ess_jobs","gen_imm_ess_welfare","gen_imm_ess_safety","imm_anger","imm_fear","imm_hope","imm_sympathy","imm_size","eu_nat_identity","free_move_protect_jobs","free_move_protect_services","part_in_W2","gen_know_switzerland","gen_know_ep","gen_know_party","mig_know_free_move","mig_know_schengen","mig_know_asylum","mig_know_syrians","gen_know_sum","mig_know_sum","gen_know_prop","mig_know_prop","W1_EX1","W1_EX2","W2_EX1","W2_EX2","W2_CC","WEIGHT","WEIGHTEX1","WEIGHTEX2"
"male",45,"spain",4,1,1,4,5,5,5,5,5,8,5,4,6,3,4,5,4,15,1,2,2,1,1,1,1,1,1,0,0,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1
"male",61,"sweden",7,1,NA,6,5,5,5,5,5,8,10,10,1,1,1,7,7,12,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",49,"sweden",6,1,NA,5,5,5,5,5,5,10,10,8,5,1,1,6,6,20,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",38,"uk",6,1,NA,5,3,4,3,3,4,5,6,3,7,3,5,4,4,50,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",38,"germany",3,1,NA,6,4,3,4,3,2,5,6,1,8,6,6,1,3,15,NA,4,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",20,"uk",6,0,NA,7,3,3,3,3,3,5,5,5,5,4,4,4,4,5,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",44,"sweden",3,1,NA,2,5,5,5,5,5,6,0,10,3,7,7,7,7,1,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",48,"sweden",3,1,NA,5,3,3,3,3,3,0,0,0,10,7,5,1,5,25,3,1,4,1,1,0,1,1,1,0,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1.0123,1.0093,1.0267
"male",48,"sweden",3,1,NA,5,3,3,3,3,3,0,0,0,10,4,4,4,4,25,NA,5,5,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",51,"hungary",3,0,1,0,5,4,5,5,5,9,9,9,0,1,1,5,6,40,1,2,5,1,1,1,1,1,0,0,1,3,2,1,0.5,NA,NA,NA,NA,2,0.8671,0.8714,0.8728
"male",19,"sweden",5,1,NA,3,3,3,3,3,2,4,4,4,4,1,1,1,1,60,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",20,"sweden",3,1,NA,7,3,4,4,4,4,7,7,6,5,6,5,7,4,30,4,4,3,1,0,0,0,0,0,0,0,1,0,0.333333333333333,0,NA,1,NA,NA,2,1.0194,1.0219,1
"female",30,"uk",7,1,NA,3,4,4,4,4,4,8,NA,10,4,3,4,5,5,10,NA,3,4,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"male",39,"germany",3,1,NA,5,4,4,4,3,4,2,5,5,10,3,5,1,1,30,NA,5,5,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
"female",23,"germany",6,0,3,5,3,3,4,3,3,8,7,5,5,3,3,NA,NA,50,2,3,3,1,1,0,1,1,1,0,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1,1,1
"female",42,"sweden",7,0,NA,5,3,3,3,3,3,5,5,5,5,4,4,4,4,50,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,1,1,1
