age,gender,education,party,income,cc_worried,cc_climate_changing,cc_causes,cc_scientists_agree,cc_emotion_hope,cc_emotion_fear,cc_increase_taxes,cc_subs_renewable,cc_spend_to_protect,cc_help_dev_countries,cc_environment_british,cc_moral_concern,country,epcc_data$education_uk,education_fr,education_no,education_ge,survey_wt,knowledge,knowledge_binary
35-44,male,degree,cons,9500_17499,4,1,1,1,1,4,5,4,5,4,1,4,2,NA,degree,NA,NA,1.1107,0.9984553862772432,1
65plus,male,gcse,lib_dem,up_to_9499,3,1,1,1,3,1,1,2,2,2,3,2,2,NA,gcse,NA,NA,0.8565,0.9984553862772432,1
15-24,male,gcse,no_party,25000plus,3,1,1,0,1,3,1,5,5,2,5,2,2,NA,gcse,NA,NA,1.1108,0.3531676391989697,0
55-64,male,gcse,no_party,9500_17499,2,0,0,0,3,3,1,1,1,4,2,3,2,NA,gcse,NA,NA,0.8565,-1.2965482561310893,0
65plus,male,gcse,cons,25000plus,3,1,0,0,1,2,1,4,4,4,3,3,2,NA,gcse,NA,NA,0.8645,-0.49018722391434655,0
35-44,female,degree,labour,25000plus,5,1,1,0,3,3,1,4,4,4,1,5,2,NA,degree,NA,NA,1.0185,0.3531676391989697,0
45-54,female,degree,labour,25000plus,5,1,0,1,2,4,1,5,1,1,1,5,2,NA,degree,NA,NA,0.8612,0.12751998108451623,0
55-64,female,degree,cons,17500_24999,3,1,1,0,1,4,4,4,2,1,2,4,2,NA,degree,NA,NA,1.0222,0.3531676391989697,0
25-34,female,alevel,cons,17500_24999,3,1,0,0,1,4,1,1,2,1,2,5,2,NA,alevel,NA,NA,0.7987,-0.49018722391434655,0
55-64,male,gcse,labour,25000plus,4,1,1,1,1,3,1,3,1,1,1,3,2,NA,gcse,NA,NA,1.0815,0.9984553862772432,1
25-34,female,gcse,lib_dem,9500_17499,2,1,1,1,1,1,1,2,4,2,2,2,2,NA,gcse,NA,NA,0.6212,0.9984553862772432,1
45-54,female,alevel,cons,up_to_9499,2,0,0,1,3,1,1,3,1,1,2,1,2,NA,alevel,NA,NA,0.9436,-0.6471937120438093,0
65plus,male,gcse,labour,25000plus,4,1,0,0,2,4,2,5,5,4,4,3,2,NA,gcse,NA,NA,0.8364,-0.49018722391434655,0
65plus,female,alevel,other,25000plus,4,1,0,0,3,2,5,5,5,4,5,5,2,NA,alevel,NA,NA,0.4795,-0.49018722391434655,0
65plus,male,gcse,cons,17500_24999,3,1,0,0,1,2,4,4,4,3,4,4,2,NA,gcse,NA,NA,0.8442,-0.49018722391434655,0
35-44,female,degree,no_party,25000plus,2,1,0,0,1,3,3,3,4,3,3,4,2,NA,degree,NA,NA,0.9946,-0.49018722391434655,0
45-54,male,degree,no_party,17500_24999,3,1,1,0,2,3,4,5,5,5,1,5,2,NA,degree,NA,NA,0.7293,0.3531676391989697,0
55-64,female,gcse,other,9500_17499,4,1,1,0,4,5,3,5,5,5,5,5,2,NA,gcse,NA,NA,0.7467,0.3531676391989697,0
25-34,female,degree,no_party,25000plus,4,1,0,1,2,3,3,3,4,4,3,3,2,NA,degree,NA,NA,0.6008,0.12751998108451623,0
25-34,male,degree,labour,25000plus,4,1,0,1,2,4,1,4,5,2,1,4,2,NA,degree,NA,NA,1.0198,0.12751998108451623,0
55-64,male,no_qual,cons,17500_24999,3,1,0,0,1,3,1,4,4,2,4,1,2,NA,no_qual,NA,NA,0.9377,-0.49018722391434655,0
45-54,female,gcse,cons,25000plus,3,1,0,0,2,4,1,3,5,4,3,4,2,NA,gcse,NA,NA,0.7948,-0.49018722391434655,0
45-54,male,degree,no_party,25000plus,3,1,1,1,4,3,1,5,5,5,1,4,2,NA,degree,NA,NA,0.9981,0.9984553862772432,1
25-34,male,gcse,no_party,up_to_9499,4,1,0,0,2,1,3,5,3,3,1,4,2,NA,gcse,NA,NA,2.3908,-0.49018722391434655,0
15-24,female,alevel,no_party,9500_17499,4,1,0,1,3,5,1,5,1,1,1,3,2,NA,alevel,NA,NA,1.0487,0.12751998108451623,0
15-24,female,degree,labour,25000plus,4,1,1,1,1,4,3,5,4,4,5,4,2,NA,degree,NA,NA,1.0487,0.9984553862772432,1
35-44,female,no_qual,labour,up_to_9499,1,0,0,0,1,1,2,3,3,3,3,3,2,NA,no_qual,NA,NA,0.9781,-1.2965482561310893,0
45-54,female,gcse,lib_dem,25000plus,4,1,1,0,2,4,2,4,4,3,4,4,2,NA,gcse,NA,NA,0.9436,0.3531676391989697,0
15-24,male,gcse,labour,9500_17499,5,1,1,1,2,3,1,5,5,1,5,4,2,NA,gcse,NA,NA,1.1108,0.9984553862772432,1
35-44,female,no_qual,no_party,25000plus,5,1,0,0,2,5,1,5,5,1,5,4,2,NA,no_qual,NA,NA,0.7844,-0.49018722391434655,0
65plus,female,no_qual,other,9500_17499,2,1,0,0,1,1,3,3,3,3,4,3,2,NA,no_qual,NA,NA,1.0222,-0.49018722391434655,0
65plus,male,gcse,lib_dem,9500_17499,1,1,1,1,1,4,2,4,2,4,4,1,2,NA,gcse,NA,NA,0.8645,0.9984553862772432,1
15-24,male,alevel,other,17500_24999,3,1,0,0,1,4,3,4,4,4,5,4,2,NA,alevel,NA,NA,0.7285,-0.49018722391434655,0
55-64,male,gcse,labour,9500_17499,3,1,0,0,1,2,3,4,3,3,4,4,2,NA,gcse,NA,NA,0.7469,-0.49018722391434655,0
55-64,male,degree,labour,25000plus,4,1,1,0,4,3,2,5,5,4,4,5,2,NA,degree,NA,NA,0.8565,0.3531676391989697,0
55-64,male,gcse,labour,25000plus,3,1,1,0,2,2,3,4,5,5,4,3,2,NA,gcse,NA,NA,0.7701,0.3531676391989697,0
25-34,female,gcse,no_party,25000plus,3,1,1,0,3,4,1,4,4,4,4,3,2,NA,gcse,NA,NA,0.6405,0.3531676391989697,0
65plus,male,degree,other,17500_24999,4,1,0,1,1,1,1,1,2,2,2,5,2,NA,degree,NA,NA,0.6744,0.12751998108451623,0
15-24,male,degree,labour,up_to_9499,3,1,0,0,3,3,4,5,2,4,3,2,2,NA,degree,NA,NA,0.6948,-0.49018722391434655,0
25-34,male,gcse,no_party,up_to_9499,3,1,0,0,2,2,3,5,1,3,3,2,2,NA,gcse,NA,NA,0.8146,-0.49018722391434655,0
35-44,female,alevel,labour,25000plus,4,1,0,0,2,4,4,4,4,2,5,4,2,NA,alevel,NA,NA,0.812,-0.49018722391434655,0
