"vote20jb","apppres5","taxecon","billtax","trade2","trade4","richpoor2","immignum","refugees","dreamer","wall5","pathway","famsep","freecol","diversity5","gw1","gw2","prek","science","rr2","age","gender","educ","marstat","race","employ","faminc_new","ideology","party_id","vote16post","religpew","region","compl_data$weight","ability"
"1","1","2","6","4","3","4","4","4","2","1","4","3","7","0","3","2","4","3","4",73,"0","some_college","married","white","retired","6","conservative","republican","trump","christian","northeast",0.978087269873647,-0.249543902218619
"1","1","1","6","2","1","5","4","2","2","1","2","4","7","0","4","2","2","3","4",73,"1","some_college","married","white","retired","6","very conservative","republican","trump","christian","south",0.915515272952024,0.49232750386146
"1","1","1","5","2","2","4","5","5","2","1","3","3","7","0","4","4","5","2","4",67,"1","two_yr_college","married","white","retired","7","conservative","independent","trump","christian","south",0.928713753877035,0.829275858480006
"1","1","1","6","2","1","5","4","6","2","1","5","5","7","0","4","2","7","5","2",70,"1","post_grad","married","white","retired","12","conservative","republican","trump","christian","midwest",0.862853007457012,0.829275858480006
"2","0","4","2","3","2","2","2","4","1","0","2","3","2","0","3","3","1","3","2",66,"1","four_yr_college","never_married","white","retired","5","very_liberal","democrat","clinton","christian","northeast",0.957778950539609,-0.0381838482328011
"2","0","6","3","3","2","2","2","1","2","0","1","5","4","1","1","2","1","5","1",23,"0","four_yr_college","never_married","white","student","1","liberal","democrat","clinton","no_rel","midwest",1.34715630903953,0.185616560394241
"2","0","6","3","3","2","2","4","3","2","0","2","5","3","0","1","1","3","5","2",79,"1","four_yr_college","widowed","white","retired","5","liberal","democrat","clinton","christian","south",1.02441840964603,0.49232750386146
"2","0","7","4","4","1","2","2","1","2","0","2","5","2","1","1","1","1","4","1",74,"0","some_college","never_married","white","retired","3","liberal","democrat","clinton","christian","south",1.02094882538262,0.49232750386146
"2","0","6","2","4","2","2","3","1","2","0","1","5","3","1","1","1","2","4","2",69,"0","post_grad","married","white","part_time","9","very_liberal","democrat","clinton","no_rel","northeast",1.02996454702489,0.49232750386146
"1","1","1","4","1","1","5","6","7","1","1","4","1","7","0","3","3","7","3","4",72,"1","two_yr_college","married","white","retired","7","very conservative","republican","trump","christian","northeast",0.928713753877035,0.49232750386146
"1","1","1","7","2","1","5","7","6","1","1","1","4","7","0","5","3","7","2","4",79,"1","some_college","married","white","retired","3","very conservative","republican","trump","christian","west",0.928713753877035,0.49232750386146
