x01_1,x01_2,x01_3,x01_4,x01_5,x01_6,eu_vote,party_id,income,gender,religion,age,ethnic_group,education,marital_status,social_class,region,wt_vote,ability
1,1,1,1,1,1,1,0,5,2,0,5,1,2,1,2,Eastern,1.62448203028274,1.0073761227189837
1,0,1,0,0,1,1,1,6,2,1,5,1,0,1,2,Eastern,0.812241015141369,-0.8119912597841162
1,0,0,0,1,1,2,0,8,2,1,1,1,2,2,2,Eastern,1.00587076817026,-0.31929598673165877
1,0,1,0,1,0,1,2,8,2,0,3,1,4,1,2,Eastern,0.801581134611753,-0.7159648149255413
1,0,1,1,1,1,0,1,14,2,0,2,1,4,3,2,Eastern,0.655072876023334,0.4077488558446815
1,0,0,0,0,0,1,2,1,2,1,6,1,0,3,1,Eastern,0.477007638714888,-1.3322879951954447
1,0,1,0,0,1,1,1,3,2,1,7,1,0,6,2,Eastern,0.781327906778087,-0.8119912597841162
1,0,1,0,0,0,0,0,12,1,0,1,1,4,3,2,Eastern,1.62898395460922,-1.3322879951954447
1,0,0,0,1,1,1,7,8,2,0,5,1,2,1,2,Eastern,0.817778894728769,-0.31929598673165877
1,1,1,1,1,1,1,2,9,2,0,5,1,4,6,2,Eastern,1.17480482127495,1.0073761227189837
1,0,1,0,1,0,1,1,10,2,1,6,1,1,4,1,Eastern,0.416453797343449,-0.7159648149255413
1,1,1,1,1,1,1,1,4,1,0,6,1,4,3,1,Eastern,0.322967407651592,1.0073761227189837
